Município;Agropecuária;Extrativa mineral;Indústria de transformação;Construção civil;Serviços industriais de utilidade pública;Comércio;Serviços;Administração pública
Abreu e Lima;26;-;3139;256;29;2033;29;1587
Afogados da Ingazeira;13;-;435;13;44;774;44;842
Afrânio;15;-;102;16;3;133;3;680
Agrestina;143;-;62;16;-;139;-;827
Água Preta;330;-;73;4;31;91;31;1206
Águas Belas;27;-;34;24;2;382;2;1280
Alagoinha;2;-;1;-;-;66;-;649
Aliança;1464;-;139;4;-;419;-;1272
Altinho;27;-;44;1;-;102;-;885
Amaraji;103;-;503;1;9;147;9;1076
Angelim;34;-;64;-;41;42;41;584
Araçoiaba;3;-;3;85;-;67;-;561
Araripina;14;317;1453;167;8;1354;8;1563
Arcoverde;93;32;530;108;17;2493;17;2040
Barra de Guabiraba;3539;19;168;6;-;64;-;621
Barreiros;593;15;112;69;10;847;10;1505
Belém de Maria;4;-;5;-;-;34;-;540
Belém do São Francisco;668;-;21;3;14;152;14;1074
Belo Jardim;206;20;3657;292;7;1377;7;2474
Betânia;2;-;-;-;-;31;-;676
Bezerros;187;2;863;698;-;834;-;1228
Bodocó;-;-;69;9;-;142;-;1494
Bom Conselho;63;-;351;5;1;449;1;1350
Bom Jardim;100;85;218;-;-;188;-;1254
Bonito;160;-;239;12;44;369;44;607
Brejão;66;-;1;93;-;14;-;566
Brejinho;-;-;-;-;-;7;-;376
Brejo da Madre de Deus;35;-;358;4;-;242;-;1735
Buenos Aires;140;-;167;-;-;69;-;426
Buíque;21;-;97;2;-;317;-;133
Cabo de Santo Agostinho;3813;-;9316;3425;460;4637;460;6223
Cabrobó;21;-;55;206;-;547;-;1146
Cachoeirinha;32;-;42;-;-;153;-;819
Caetés;5;-;41;9;-;95;-;541
Calçado;-;-;-;3;-;34;-;466
Calumbi;1;-;-;-;-;16;-;342
Camaragibe;199;-;1297;478;15;2634;15;3054
Camocim de São Félix;44;-;34;6;-;106;-;599
Camutanga;14;-;4470;-;-;51;-;540
Canhotinho;57;-;45;30;-;189;-;909
Capoeiras;-;-;19;-;-;120;-;927
Carnaíba;-;-;7;47;-;119;-;518
Carnaubeira da Penha;-;-;-;-;-;32;-;446
Carpina;444;26;2244;209;94;2734;94;1781
Caruaru;482;35;12899;2044;108;18942;108;7607
Casinhas;-;-;4;3;-;1;-;776
Catende;24;-;1892;2;17;294;17;2071
Cedro;-;-;15;-;-;19;-;423
Chã de Alegria;5;-;4;-;-;69;-;576
Chã Grande;183;-;29;98;-;160;-;867
Condado;94;-;45;-;6;271;6;927
Correntes;40;-;9;6;-;91;-;756
Cortês;69;-;2879;3;-;48;-;680
Cumaru;2;-;2;2;-;39;-;637
Cupira;6;-;283;10;-;251;-;767
Custódia;8;-;422;631;-;319;-;1071
Dormentes;-;-;72;2;-;280;-;670
Escada;620;-;4592;201;9;1138;9;2463
Exu;3;-;7;16;-;210;-;1680
Feira Nova;66;-;52;13;-;188;-;686
Fernando de Noronha;2;-;37;11;2;223;2;-
Ferreiros;126;-;247;17;-;122;-;390
Flores;-;-;18;2;-;56;-;642
Floresta;11;3;76;17;-;1227;-;1198
Frei Miguelinho;4;5;13;-;-;28;-;589
Gameleira;360;-;22;-;14;95;14;686
Garanhuns;309;35;1641;735;81;5686;81;3354
Glória do Goitá;102;-;103;2;-;154;-;873
Goiana;4342;50;2327;183;15;2091;15;2044
Granito;-;-;-;4;-;7;-;387
Gravatá;287;4;1193;275;8;1809;8;2759
Iati;-;-;-;1;-;83;-;732
Ibimirim;108;-;3;12;1;154;1;1344
Ibirajuba;-;-;-;-;-;16;-;459
Igarassu;144;29;10071;1186;83;1642;83;3123
Iguaracy;-;-;-;-;-;32;-;394
Inajá;22;-;1;2;-;91;-;502
Ingazeira;-;-;3;-;-;16;-;287
Ipojuca;217;39;11385;19263;18;2755;18;3926
Ipubi;-;198;500;127;-;75;-;1468
Itacuruba;-;-;-;-;-;93;-;313
Itaíba;6;-;19;2;-;73;-;911
Ilha de Itamaracá;15;-;48;36;1;197;1;782
Itambé;613;-;304;3;-;773;-;1356
Itapetim;32;-;1;19;-;58;-;520
Itapissuma;210;1;1583;97;-;195;-;1283
Itaquitinga;176;5;24;939;-;79;-;971
Jaboatão dos Guararapes;513;270;19013;3521;3201;18457;3201;10209
Jaqueira;178;-;6;-;-;47;-;540
