Municipio,Agropecuaria,Extrativa mineral,Industria de transformacao,Construcao civil,Servicos industriais de utilidade publica,Comercio,Servicos,Administracao publica,Total
Petrolândia,262,64,44,383,58,714,58,1594,3177
Petrolina,10394,72,3287,5414,78,12443,78,6756,38522
Santa Maria da Boa Vista,182,9,84,3,3,339,3,1213,1836
Cabrobó,21,0,55,206,0,547,0,1146,1975
Floresta,11,3,76,17,0,1227,0,1198,2532
Lagoa Grande,867,0,150,0,0,313,0,1145,2475
Tacaratu,17,0,57,14,0,83,0,842,1013
Belém do São Francisco,668,0,21,3,14,152,14,1074,1946
Afrânio,15,0,102,16,3,133,3,680,952
Dormentes,0,0,72,2,0,280,0,670,1024
Jatobá,89,0,15,1,130,120,130,654,1139
Orocó,19,0,0,2,0,69,0,453,543
Carnaubeira da Penha,0,0,0,0,0,32,0,446,478
Terra Nova,1,0,0,0,0,40,0,349,390
Itacuruba,0,0,0,0,0,93,0,313,406
Araripina,14,317,1453,167,8,1354,8,1563,4884
Bodocó,0,0,69,9,0,142,0,1494,1714
Exu,3,0,7,16,0,210,0,1680,1916
Granito,0,0,0,4,0,7,0,387,398
Ipubi,0,198,500,127,0,75,0,1468,2368
Moreilândia,0,0,0,0,0,17,0,616,633
Ouricuri,12,122,301,7,13,733,13,1897,3098
Santa Cruz,0,0,10,3,0,47,0,566,626
Santa Filomena,0,0,0,0,0,40,0,302,342
Trindade,2,35,1450,14,0,355,0,824,2680
Cedro,0,0,15,0,0,19,0,423,457
Mirandiba,0,0,0,6,0,105,0,577,688
Parnamirim,9,0,0,89,0,149,0,854,1101
Salgueiro,53,41,174,9385,10,1720,10,1507,12900
São José do Belmonte,0,1,126,94,7,265,7,1545,2045
Serrita,0,0,0,9,0,77,0,650,736
Verdejante,0,0,21,5,0,16,0,495,537
Afogados da Ingazeira,13,0,435,13,44,774,44,842,2165
Brejinho,0,0,0,0,0,7,0,376,383
Calumbi,1,0,0,0,0,16,0,342,359
Carnaíba,0,0,7,47,0,119,0,518,691
Flores,0,0,18,2,0,56,0,642,718
Iguaracy,0,0,0,0,0,32,0,394,426
Ingazeira,0,0,3,0,0,16,0,287,306
Itapetim,32,0,1,19,0,58,0,520,630
Quixaba,0,0,0,0,0,2,0,403,405
Santa Cruz da Baixa Verde,2,0,9,0,0,31,0,400,442
Santa Terezinha,0,0,3,0,0,57,0,557,617
